EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001000,32,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,10,3,4,55,3,2,4,0.6931471805599453,No,12,4,2.3978952727983707,1.0986122886681098,2,2.3978952727983707,2.0794415416798357,0.0,2.1972245773362196,No,1.0986122886681098
E1001006,47,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,14,4,4,42,3,2,1,1.0986122886681098,No,12,4,3.044522437723423,1.0986122886681098,3,2.0794415416798357,2.0794415416798357,0.6931471805599453,2.0794415416798357,No,1.0986122886681098
E1001007,40,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,5,4,4,48,2,3,1,1.791759469228055,Yes,21,3,3.044522437723423,1.0986122886681098,3,2.9444389791664403,2.6390573296152584,0.6931471805599453,2.5649493574615367,No,1.3862943611198906
E1001009,41,Male,Human Resources,Divorced,Human Resources,Manager,Travel_Rarely,10,4,2,73,2,5,4,1.3862943611198906,No,15,2,3.1780538303479458,1.0986122886681098,2,3.091042453358316,1.9459101490553132,2.5649493574615367,1.9459101490553132,No,1.0986122886681098
E1001010,60,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,16,4,1,84,3,2,1,2.1972245773362196,No,14,4,2.3978952727983707,0.6931471805599453,3,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001011,27,Male,Life Sciences,Divorced,Development,Developer,Travel_Frequently,10,2,4,32,3,3,1,0.6931471805599453,No,21,3,2.302585092994046,1.6094379124341003,2,2.302585092994046,2.0794415416798357,0.6931471805599453,2.0794415416798357,No,1.3862943611198906
E1001016,50,Male,Marketing,Married,Sales,Sales Representative,Travel_Rarely,8,4,4,54,3,1,2,2.0794415416798357,No,15,4,1.6094379124341003,1.0986122886681098,3,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001019,28,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,2,1,67,1,1,2,2.0794415416798357,Yes,13,4,2.3978952727983707,1.6094379124341003,3,2.0794415416798357,2.0794415416798357,1.3862943611198906,2.0794415416798357,Yes,1.0986122886681098
E1001020,36,Female,Life Sciences,Married,Development,Developer,Non-Travel,8,3,1,63,4,3,1,2.302585092994046,No,14,1,2.3978952727983707,1.0986122886681098,3,2.1972245773362196,2.0794415416798357,0.0,1.791759469228055,No,1.0986122886681098
E1001021,38,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,3,3,81,3,3,3,1.6094379124341003,Yes,14,4,2.3978952727983707,1.6094379124341003,4,0.6931471805599453,0.0,0.0,0.0,No,1.0986122886681098
